local_id,source_key,title,authors,first_author,year,doi,pmid,pmcid,arxiv,venue,volume,issue,pages,publisher,lang,url,confidence,status,provenance,last_checked,parents,abstract,keywords,open_access,doc_type,hit_openalex,hit_crossref,hit_semanticscholar,match_strategy,winner_source,field_sources,filled_by_source_counts,resolver_notes,el_outcome,el_failed_ids,el_missing_ids,el_met_ids,el_uncertain_ids,el_evidence_json,el_reason_summary
A074,101080107490392012755205,Locating Social and Emotional Learning in Schooled Environments: A Vygotskian Perspective on Learning as Unified,Jennifer A. Vadeboncoeur; Rebecca J. Collie,Jennifer A. Vadeboncoeur,2012.0,10.1080/10749039.2012.755205,,,,"Mind, Culture, and Activity",20,3,201-225,Informa UK Limited,en,https://doi.org/10.1080/10749039.2012.755205,0.9,resolved,openalex,2026-08-16T22:29:46Z,X002,"This article contributes to the emerging literature on social and emotional learning (SEL) from a Vygotskian perspective. A critical perspective on SEL in the context of schooling in the United States situates current interest in SEL programs. Vygotsky's foundational work from the 1920s and 1930s is used to clarify learning as unified, and the concept of feeling is elaborated with literature relevant to learning in school environments and across the life course. Potential next steps for research are noted, in particular given the unity of speech, thinking, and feeling and the literature on the role of social speech and dialogue in learning and development.",Psychology; Feeling; Perspective (graphical); Intellect; Context (archaeology); Privilege (computing); Cognition; Cognitive science; Epistemology; Social psychology; Biology; Computer security,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A184,1041359781483365817n533,Emotion-Focused Therapy,Rhonda Goldman; Shannon Iverson,Rhonda Goldman,2017.0,10.4135/9781483365817.n533,,,,The SAGE Encyclopedia of Abnormal and Clinical Psychology,,,,"SAGE Publications, Inc.",en,https://doi.org/10.4135/9781483365817.n533,0.9,resolved,openalex,2026-08-16T22:30:43Z,X005,"Emotion-focused therapy (EFT), also known as process-experiential therapy, integrates active therapeutic methods from gestalt and other humanistic therapies within the frame of a person-centred relationship (Elliott, Watson, Goldman & Greenberg, 2004). EFT updates person-centred and gestalt therapies by incorporating contemporary emotion theory and affective neuroscience, dialectical constructivism, and contemporary attachment theory. In this chapter, I review the current status of EFT, summarising its history, theory, practice, and outcome evidence.",Psychology; Psychotherapist; Clinical psychology; Cognitive psychology,False,other,True,True,False,doi,,"{'venue': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 3, 'heuristic': 1}","X005.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A185,101037e602962010001,Emotion-Focused Therapy,Leslie S. Greenberg,Leslie S. Greenberg,2010.0,10.1037/e602962010-001,,,,PsycEXTRA Dataset,,,,American Psychological Association (APA),en,https://doi.org/10.1037/e602962010-001,0.9,resolved,openalex,2026-08-16T22:30:43Z,X005,,Computer science; Psychology; Psychotherapist,False,other,True,True,False,doi,,"{'venue': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 3, 'heuristic': 1}","X005.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:abstract",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A187,10103710892680103229,Heart Rate Variability as an Index of Regulated Emotional Responding,Bradley M. Appelhans; Linda J. Luecken,Bradley M. Appelhans,2006.0,10.1037/1089-2680.10.3.229,,,,Review of General Psychology,10,3,229-240,SAGE Publications,en,https://doi.org/10.1037/1089-2680.10.3.229,0.9,resolved,openalex,2026-08-16T22:30:46Z,"X006,X008,X013","The study of individual differences in emotional responding can provide considerable insight into interpersonal dynamics and the etiology of psychopathology. Heart rate variability (HRV) analysis is emerging as an objective measure of regulated emotional responding (generating emotional responses of appropriate timing and magnitude). This review provides a theoretical and empirical rationale for the use of HRV as an index of individual differences in regulated emotional responding. Two major theoretical frameworks that articulate the role of HRV in emotional responding are presented, and relevant empirical literature is reviewed. The case is made that HRV is an accessible research tool that can increase the understanding of emotion in social and psychopathological processes.",Psychology; Heart rate variability; Psychopathology; Interpersonal communication; Emotional regulation; Psychophysiology; Empirical research; Index (typography); Cognitive psychology; Developmental psychology; Heart rate; Social psychology,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,H4-5,,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""SUPPRESSED"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": ""Heart rate variability (HRV) analysis is emerging as an objective measure of regulated emotional responding (generating emotional responses of appropriate timing and magnitude)."", ""quote_valid"": true, ""span"": [111, 143], ""used"": true}}","EXCLUSION_SUPPRESSED: the model returned an excluding verdict on H4-6 which passed the evidence gate. Flag-only is in force for this provider, so the record was NOT excluded and needs human review."
A199,101016jjpain201301010,Conditioned Pain Modulation in Children and Adolescents: Effects of Sex and Age,Jennie C.I. Tsao; Laura C. Seidman; Subhadra Evans; Kirsten Lung; Lonnie K. Zeltzer; Bruce D. Naliboff,Jennie C.I. Tsao,2013.0,10.1016/j.jpain.2013.01.010,https://pubmed.ncbi.nlm.nih.gov/23541066,,,The Journal of Pain,14,6,558-567,Elsevier BV,en,https://doi.org/10.1016/j.jpain.2013.01.010,0.9,resolved,openalex,2026-08-16T22:31:03Z,X006,"Conditioned pain modulation (CPM) refers to the diminution of perceived pain intensity for a test stimulus following application of a conditioning stimulus to a remote area of the body, and is thought to reflect the descending inhibition of nociceptive signals. Studying CPM in children may inform interventions to enhance central pain inhibition within a developmental framework. We assessed CPM in 133 healthy children (mean age = 13 years; 52.6% girls) and tested the effects of sex and age. Participants were exposed to four trials of a pressure test stimulus before, during, and after the application of a cold water conditioning stimulus. CPM was documented by a reduction in pressure pain ratings during cold water administration. Older children (12–17 years) exhibited greater CPM than younger (8–11 years) children. No sex differences in CPM were found. Lower heart rate variability (HRV) at baseline and after pain induction was associated with less CPM controlling for child age. The findings of greater CPM in the older age cohort suggest a developmental improvement in central pain inhibitory mechanisms. The results highlight the need to examine developmental and contributory factors in central pain inhibitory mechanisms in children to guide effective, age appropriate, pain interventions.",Medicine; Stimulus (psychology); Psychological intervention; Cold pressor test; Heart rate; Chronic pain; Nociception; Conditioning; Audiology; Physical therapy; Blood pressure; Psychology,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'semanticscholar'}","{'crossref': 7, 'semanticscholar': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:SE | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A201,101016jjpain201202007,Autonomic Nervous System Function in Young Children With Functional Abdominal Pain or Irritable Bowel Syndrome,Monica Jarrett; Margaret Heitkemper; Danita I. Czyzewski; Lonnie K. Zeltzer; Robert J. Shulman,Monica Jarrett,2012.0,10.1016/j.jpain.2012.02.007,https://pubmed.ncbi.nlm.nih.gov/22520688,,,The Journal of Pain,13,5,477-484,Elsevier BV,en,https://doi.org/10.1016/j.jpain.2012.02.007,0.9,resolved,openalex,2026-08-16T22:31:05Z,X006,"Adults with irritable bowel syndrome (IBS) have been reported to have alterations in autonomic nervous system function as measured by vagal activity via heart rate variability. Whether the same is true for children is unknown. We compared young children 7 to 10 years of age with functional abdominal pain (FAP) or IBS to healthy children (HC) and explored the relationship of vagal activity and sympathovagal balance to psychological distress and stool type. Children completed questionnaires, kept a 2-week pain/stool diary, and wore a 24-hour Holter monitor to assess vagal activity. Group comparisons on vagal activity were controlled for age and body mass index. Indicators of vagal activity and sympathovagal balance did not differ between FAP/IBS children (70 girls, 30 boys) and HC (44 girls, 18 boys). Psychological distress measures were generally higher in FAP/IBS than HC, primarily in girls. Exploratory analyses suggest a potential negative correlation between vagal activity and psychological distress in FAP/IBS girls but not boys. In contrast to reports in women, no differences were found in vagal activity between FAP/IBS and HC. Preliminary findings suggest that in girls with FAP/IBS there is an inverse relationship between vagal activity and psychological distress. Perspective The results from this study suggest a possible relationship between emotional state and vagal activity in prepubertal girls (but not boys) with FAP/IBS. Age and/or duration of symptoms may explain our contrasting findings versus adults with IBS.",Irritable bowel syndrome; Medicine; Vagal tone; Autonomic nervous system; Heart rate variability; Abdominal pain; Distress; Balance (ability); Internal medicine; Visceral pain; Heart rate; Physical therapy,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'semanticscholar'}","{'crossref': 7, 'semanticscholar': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:SE | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A202,101016jpain201209013,Relationship of neuroticism and laboratory pain in healthy children: Does anxiety sensitivity play a role?,Laura A. Payne; Laura C. Seidman; Kirsten Lung; Lonnie K. Zeltzer; Jennie C.I. Tsao,Laura A. Payne,2012.0,10.1016/j.pain.2012.09.013,https://pubmed.ncbi.nlm.nih.gov/23158759,,,Pain,154,1,103-109,Ovid Technologies (Wolters Kluwer Health),en,https://doi.org/10.1016/j.pain.2012.09.013,0.9,resolved,openalex,2026-08-16T22:31:05Z,X006,"Both neuroticism, a higher-order, stable personality trait, and anxiety sensitivity (AS), a lower-order pain-related construct, have been associated with pain, although no research exists examining the relationship of both these constructs to acute pain in children. In the current study, 99 healthy children (53 girls) completed self-report measures of neuroticism and AS before undergoing pain tasks involving cold and pressure pain. We hypothesized that both neuroticism and AS would be correlated with acute pain responses, but that AS would at least partially mediate the relationship between neuroticism and pain responses. Results indicated significant correlations between neuroticism, AS, and anticipatory anxiety, pain intensity and pain bother. Mediational models revealed that AS partially mediated relationships between neuroticism and pain intensity/bother, and fully mediated relationships between neuroticism and anticipatory anxiety. These data suggest that, at least in children, neuroticism may be best understood as a vulnerability factor for elevated pain responses, especially when coupled with a fear of bodily sensations.",Neuroticism; Anxiety sensitivity; Anxiety; Psychology; Clinical psychology; Sensitivity (control systems); Medicine; Developmental psychology; Psychiatry; Personality; Social psychology; Electronic engineering,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A203,101016jjpsychores200902007,Autonomic activity and somatic symptoms in response to success vs. failure on a cognitive task: A comparison of chronic abdominal pain patients and well children,Martina Puzanovova; Patrick G. Arbogast; Craig A. Smith; Julia Anderson; André Diedrich; Lynn S. Walker,Martina Puzanovova,2009.0,10.1016/j.jpsychores.2009.02.007,https://pubmed.ncbi.nlm.nih.gov/19686879,,,Journal of Psychosomatic Research,67,3,235-243,Elsevier BV,en,https://doi.org/10.1016/j.jpsychores.2009.02.007,0.9,resolved,openalex,2026-08-16T22:31:06Z,X006,"Objectives To compare autonomic nervous system (ANS) activity and somatic symptoms in chronic abdominal pain (CAP) patients and well children during (a) resting baseline, (b) training in a cognitive task, and (c) random assignment to success vs. failure on the task. Methods The ECG was continuously recorded with a dual lead system (Biopac) in 45 CAP patients and 22 well children, ages 9–16 years (mean age = 12.3). Heart rate variability (HRV) was analyzed during the 5 minute resting baseline, training, and success/failure on the task. Performance expectations were assessed before the task. Gastrointestinal (GI) and non-GI somatic symptoms were assessed before and after the task. Results Compared to well children, CAP patients reported lower expectations for their task performance and higher GI symptoms (p’s < 0.05). During success, CAP patients exhibited significant increases in both sympathetic (p < 0.05) and parasympathetic (p < 0.05) activity whereas well children exhibited no change in ANS activity. During failure, CAP patients exhibited significant increases in somatic symptoms (< 0.05) but no change in ANS activity. Conclusions The lower performance expectations of CAP patients compared to well children may have influenced their experience of success and contributed to differences in their autonomic activity.",Autonomic nervous system; Heart rate variability; Medicine; Somatic cell; Cognition; Internal medicine; Abdominal pain; Task (project management); Heart failure; Cardiology; Audiology; Heart rate,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'semanticscholar'}","{'crossref': 7, 'semanticscholar': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:SE | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A204,101016jpain200907003,The importance of emotional processes in the modulation of pain,Jamie L. Rhudy,Jamie L. Rhudy,2009.0,10.1016/j.pain.2009.07.003,https://pubmed.ncbi.nlm.nih.gov/19647365,,,Pain,146,3,233-234,Ovid Technologies (Wolters Kluwer Health),en,https://doi.org/10.1016/j.pain.2009.07.003,0.9,resolved,openalex,2026-08-16T22:31:06Z,X006,"Department of Psychology, The University of Tulsa, 800 South Tucker Drive, Tulsa, OK 74104, USA. Tel.: +1 918 631 2839; fax: +1 918 631 2833. E-mail address:[email protected]",Psychology; Emotional disorder; Applied psychology; Psychiatry; Medicine; Anxiety,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A208,101016s0165032700003384,A model of neurovisceral integration in emotion regulation and dysregulation,Julian F. Thayer; Richard D. Lane,Julian F. Thayer,2000.0,10.1016/s0165-0327(00)00338-4,https://pubmed.ncbi.nlm.nih.gov/11163422,,,Journal of Affective Disorders,61,3,201-216,Elsevier BV,en,https://doi.org/10.1016/s0165-0327(00)00338-4,0.9,resolved,openalex,2026-08-16T22:31:09Z,X006,,Negative feedback; Context (archaeology); Psychology; Neuroscience; Neuronal circuits; Perspective (graphical); Adaptability; Biological neural network; Cognitive psychology; Positive feedback; Computer science; Biology,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR | missing:abstract",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A215,1010970000458320030100000012,Psychological Comorbidity and Stress Reactivity in Children and Adolescents With Recurrent Abdominal Pain and Anxiety Disorders,Lorah D. Dorn; JOHN C. CAMPO; Sathja Thato; Ronald E. Dahl; Daniel Lewin; R. Chandra; CARLO DI LORENZO,Lorah D. Dorn,2003.0,10.1097/00004583-200301000-00012,https://pubmed.ncbi.nlm.nih.gov/12500078,,,Journal of the American Academy of Child &amp; Adolescent Psychiatry,42,1,66-75,Elsevier BV,en,https://doi.org/10.1097/00004583-200301000-00012,0.9,resolved,openalex,2026-08-16T22:31:14Z,X006,,Anxiety; Comorbidity; Blood pressure; Heart rate; Depression (economics); Clinical psychology; Psychology; Anxiety disorder; Abdominal pain; Trier social stress test; Somatic anxiety; Internal medicine,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR | missing:abstract",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""keywords"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
