arm,stage,records_in,pairs,answered,no_answer,failed_pairs,llm_criteria,base_calls,calls_made,reasks,wall_s,OUT,PASS_CLEAN,FLAGGED_or_REVIEW,EXCLUSION_SUPPRESSED,NOT_SCREENED,absence_suppressed_key,model,batch_size,prompt_version,request_shape
arm0_baseline,EL,22,44,44,0,0,2,10,10,0,89.0,0,21,1,0,0,False,qwen2.5:7b,5,EL_v3_nullquote,json_schema
arm0_baseline,IL,22,22,22,0,0,1,5,6,1,46.5,0,11,0,11,0,True,qwen2.5:7b,5,IL_v3_nullquote,json_schema
g1_paraphrase,EL,22,44,44,0,0,2,10,10,0,85.8,0,22,0,0,0,False,qwen2.5:7b,5,EL_v3_nullquote,json_schema
g1_paraphrase,IL,22,22,22,0,0,1,5,5,0,43.8,0,6,0,16,0,True,qwen2.5:7b,5,IL_v3_nullquote,json_schema
g4_edge_shapes,EL,16,32,32,0,0,2,8,8,0,64.6,0,1,0,15,0,True,qwen2.5:7b,5,EL_v3_nullquote,json_schema
g4_edge_shapes,IL,16,16,16,0,0,1,4,4,0,33.0,0,1,15,0,0,False,qwen2.5:7b,5,IL_v3_nullquote,json_schema
g5_adversarial,EL,30,120,120,0,0,4,24,24,0,244.6,0,9,11,10,0,False,qwen2.5:7b,5,EL_v3_nullquote,json_schema
g5_adversarial,IL,30,30,30,0,0,1,6,6,0,67.5,0,13,3,14,0,True,qwen2.5:7b,5,IL_v3_nullquote,json_schema
g3_stage_stress,EL,107,107,107,0,0,1,22,22,0,199.9,0,102,2,3,0,False,qwen2.5:7b,5,EL_v3_nullquote,json_schema
g3_stage_stress,IL,107,107,107,0,0,1,22,22,0,705.9,0,1,4,102,0,True,qwen2.5:7b,5,IL_v3_nullquote,json_schema
s1a_wording_el,EL,147,294,294,0,0,2,60,60,0,549.4,0,126,12,9,0,False,qwen2.5:7b,5,EL_v3_nullquote,json_schema
s1b_polarity_il,IL,147,294,294,0,0,2,60,60,0,1100.2,0,2,0,145,0,True,qwen2.5:7b,5,IL_v3_nullquote,json_schema
g2_polarity,EL,107,214,214,0,0,2,44,44,0,412.3,0,55,39,13,0,False,qwen2.5:7b,5,EL_v3_nullquote,json_schema
g2_polarity,IL,107,214,214,0,0,2,44,44,0,927.6,0,4,2,101,0,True,qwen2.5:7b,5,IL_v3_nullquote,json_schema
